"# of Use","Använt antal"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s artiklar"
"%s and above","%s and above"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopiera data från: %s)"
"(Will make search for the query above return results for this search.)","Innebär att sökningar på ovanstående sökord ger samma resultat som sökningar på detta."
"* Required Fields","* Required Fields"
"-- Please Select --","-- Vänligen välj --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend."
"A group with the same name already exists.","A group with the same name already exists."
"A name is required","Ett namn är nödvändigt"
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"ALL GROUPS","ALLA GRUPPER"
"AM","AM"
"Action","Åtgärd"
"Actual Price","Actual Price"
"Add","Add"
"Add Attribute","Lägg till attribut"
"Add Design Change","Lägg till designändring"
"Add Group","Lägg till grupp"
"Add Group Price","Add Group Price"
"Add Items to Cart","Lägg produkter i varukorgen"
"Add New","Lägg till ny"
"Add New Attribute","Lägg till nytt attribut"
"Add New Attribute Set","Lägg till ny attributmängd"
"Add New Group","Lägg till ny grupp"
"Add New Images","Lägg till nya bilder"
"Add New Option","Add New Option"
"Add New Row","Add New Row"
"Add New Search Term","Lägg till ny sökterm"
"Add New Set","Lägg till ny mängd"
"Add Option","Lägg till alternativ"
"Add Product","Lägg till produkt"
"Add Product To Websites","Lägg till produkt till webbplatser"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"Add Tier","Lägg till nivå"
"Add attribute into attribute set","Add attribute into attribute set"
"Add group into attribute set","Add group into attribute set"
"Add new custom option into product","Add new custom option into product"
"Add new values into custom option","Add new values into custom option"
"Add option","Add option"
"Add to Cart","Lägg i varukorgen"
"Add to Compare","Lägg till jämförelse"
"Add to My Wishlist","Lägg till i min önskelista"
"Add to Wishlist","Lägg till i önskelista"
"Additional Information","Mer information"
"Alert Urls","Alert Urls"
"All","Alla"
"All Product Types","Alla produkttyper"
"All Websites","All Websites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Allow All Products per Page","Allow All Products per Page"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"Allow HTML Tags on Frontend","Allow HTML Tags on Frontend"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"An error occurred while adding products to websites.","An error occurred while adding products to websites."
"An error occurred while clearing comparison list.","An error occurred while clearing comparison list."
"An error occurred while deleting this review.","An error occurred while deleting this review."
"An error occurred while removing products from websites.","An error occurred while removing products from websites."
"An error occurred while saving the URL rewrite","An error occurred while saving the URL rewrite"
"An error occurred while saving the attribute set.","An error occurred while saving the attribute set."
"An error occurred while saving the collection, aborting. Error message: %s","An error occurred while saving the collection, aborting. Error message: %s"
"An error occurred while saving the product. ","An error occurred while saving the product. "
"An error occurred while saving the search query.","An error occurred while saving the search query."
"An error occurred while saving this group.","An error occurred while saving this group."
"An error occurred while saving this review.","An error occurred while saving this review."
"An error occurred while trying to delete the category.","An error occurred while trying to delete the category."
"An error occurred while updating the product(s) attributes.","An error occurred while updating the product(s) attributes."
"An error occurred while updating the product(s) status.","An error occurred while updating the product(s) status."
"An invalid group ID is specified, skipping the record.","An invalid group ID is specified, skipping the record."
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"An invalid store was specified.","An invalid store was specified."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply MAP (Default Value)","Apply MAP (Default Value)"
"Apply To","Tillämpa på"
"Apply To Configurable/Grouped Product","Tillämpa på konfigurerbar/grupperad produkt"
"Approved","Godkänd"
"Are you sure you want to delete this category?","Är du säker på att du vill ta bort denna kategori?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","Är du säker på att du vill ta bort denna produkt från jämförelsen?"
"Are you sure?","Är du säker?"
"As low as:","Så lågt som:"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Associated Products","Relaterade produkter"
"Attrib. Set Name","Namn för attributmängd"
"Attribute ""%s"" is invalid.","Attribute ""%s"" is invalid."
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Code","Attributkod"
"Attribute Information","Information om attribut"
"Attribute Label","Attributetikett"
"Attribute Model","Attributmodell"
"Attribute Name:","Attributnamn:"
"Attribute Properties","Attributegenskaper"
"Attribute Set","Attributmängd"
"Attribute Sets","Attribute Sets"
"Attribute add","Attribute add"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute group with the \""/name/\"" name already exists","Attribute group with the \""/name/\"" name already exists"
"Attribute model not defined","Attributmodell har inte definierats"
"Attribute remove","Attribute remove"
"Attribute with the same code already exists","Ett attribut med samma kod existerar redan"
"Attributes","Attribut"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Autogenerera"
"Availability","Availability"
"Availability:","Availability:"
"Availability: In stock.","Lagersaldo: finns i lager."
"Availability: Out of stock.","Lagersaldo: Ej i lager."
"Back","Tillbaka"
"Backend Model","Modell för administrationsdelen"
"Backend Table","Tabell för administrationsdelen"
"Backend Table Title","Titel för tabell för administrationsdelen"
"Backorders","Utestående beställningar"
"Base directory to upload image file is not specified","Baskatalog för uppladdning av bildfiler har inte angetts"
"Based On","Baserad på"
"Before Order Confirmation","Before Order Confirmation"
"Best Value","Mest för pengarna"
"Block after Info Column","Block after Info Column"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","Nedre del/Vänster"
"Bottom/Right","Nedre del/Höger"
"Browse By","Bläddra utifrån"
"Bundle Items","Bundle Items"
"Buy %1$s","Buy %1$s"
"Buy %1$s for","Buy %1$s for"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"Cache refresh needed.","Cache refresh needed."
"Can be Divided into Multiple Boxes for Shipping","Can be Divided into Multiple Boxes for Shipping"
"Can be used only with catalog input type Dropdown","Kan endast användas tillsammans med indatatyp för katalog satt till rullgardinsmeny"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan endast användas tillsammans med indatatyp för katalog satt till rullgardinsmeny, flerval eller pris"
"Can't create image.","Can't create image."
"Can\'t create image.","Can\'t create image."
"Cancel","Cancel"
"Cannot create image.","Cannot create image."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cannot create writeable directory '%s'.","Cannot create writeable directory '%s'."
"Cart Item Attribute","Attribut för artikel i kundkorg"
"Catalog","Katalog"
"Catalog Category (Anchor)","Catalog Category (Anchor)"
"Catalog Category (Non-Anchor)","Catalog Category (Non-Anchor)"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Catalog Category Link","Catalog Category Link"
"Catalog Input Type for Store Owner","Indatatyp för katalog för butiksägare"
"Catalog New Products List","Catalog New Products List"
"Catalog Price Scope","Omfång för katalogpris"
"Catalog Product Compare List","Catalog Product Compare List"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Catalog Product Image Gallery Popup","Catalog Product Image Gallery Popup"
"Catalog Product Link","Catalog Product Link"
"Catalog Product View (Any)","Catalog Product View (Any)"
"Catalog Product View (Configurable)","Catalog Product View (Configurable)"
"Catalog Product View (Grouped)","Catalog Product View (Grouped)"
"Catalog Product View (Simple)","Catalog Product View (Simple)"
"Catalog Product View (Virtual)","Catalog Product View (Virtual)"
"Catalog Section","Catalog Section"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Category List)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Category Tree)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Product List)"
"Catalog URL Rewrites","Catalog URL Rewrites"
"Catalog product custom option values API","Catalog product custom option values API"
"Catalog product custom options API","Catalog product custom options API"
"Catalog, Search","Katalog, sök"
"Categories","Kategorier"
"Categories Sitemap","Webbkarta för kategorier"
"Category","Kategori"
"Category API","Category API"
"Category Data","Kategoridata"
"Category Flat Data","Category Flat Data"
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Category Navigation:","Navigation för kategori:"
"Category Products","Produkter i kategori"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Category attributes API"
"Category delete error","Fel uppstod vid borttagning av kategori"
"Category deleted","Kategorin har tagits bort"
"Category move error","Fel uppstod när kategorin skulle flyttas"
"Category move operation is not possible: parent category is equal to child category.","Category move operation is not possible: parent category is equal to child category."
"Category move operation is not possible: the current category was not found.","Category move operation is not possible: the current category was not found."
"Category move operation is not possible: the new parent category was not found.","Category move operation is not possible: the new parent category was not found."
"Category must be an instance of Mage_Catalog_Model_Category.","Category must be an instance of Mage_Catalog_Model_Category."
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category saved","Kategorin har sparats"
"Center","Center"
"Change","Ändra"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","Status för ändring"
"Check items to add to the cart or","Check items to add to the cart or"
"Choose an Option...","Välj ett alternativ..."
"Choose option...","Välj alternativ..."
"Clear All","Clear All"
"Clear All Items","Ta bort alla artiklar"
"Clear Price","Clear Price"
"Click for price","Click for price"
"Close Window","Stäng fönstret"
"Collapse All","Collapse All"
"Comma-separated.","Comma-separated."
"Comparable","Jämförbar"
"Comparable on Front-end","Jämförbar i kunddelen"
"Comparable on the Frontend","Comparable on the Frontend"
"Compare","Compare"
"Compare Items","Jämför artiklar"
"Compare Products","Jämför produkter"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products - %d Items","Jämför %d produkter"
"Compare Products List","Lista över produktjämförelser"
"Compare list successfully cleared","Jämförelselistan har rensats"
"Conditions Combination","Kombinera villkor"
"Configurable Product","Konfigurerbar produkt"
"Configurable Product Settings","Inställningar för konfigurerbar produkt"
"Configure Product","Configure Product"
"Continue","Fortsätt"
"Copy From Configurable","Kopiera från konfigurerbar"
"Country/State","Country/State"
"Create","Create"
"Create (Upload)","Create (Upload)"
"Create Empty","Skapa tom"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Create Permanent Redirect for old URL","Create Permanent Redirect for old URL"
"Create Product Settings","Inställningar för att skapa produkt"
"Create Simple Associated Product","Skapa enkel relaterad produkt"
"Create attribute set based on another set","Create attribute set based on another set"
"Create new attribute","Create new attribute"
"Create new category","Create new category"
"Create new product","Create new product"
"Cross-sells","Korsförsäljning"
"Currently Shopping by","Handlar för närvarande utifrån"
"Currently Shopping by:","Currently Shopping by:"
"Custom Design","Anpassad design"
"Custom Options","Custom Options"
"Custom options","Custom options"
"Customer Group","Kundgrupp"
"Customers Reviews","Kundernas recensioner"
"Customers Tagged Product","Kundernas uppmärkta produkter"
"Customers for alert %s was successfuly added to queue","Kunder har lagts till i kön för bevakningen %s"
"Data Type for Saving in Database","Datatyp för sparningar i databas"
"Date","Datum"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Fields Order","Date Fields Order"
"Date Subscribed","Prenumeration påbörjades"
"Date fields order","Date fields order"
"Datetime","Datum/tid"
"Decimal","Decimal"
"Decimal Number","Decimaltal"
"Declare attribute value saving scope","Deklarera sparningsomfång för attributvärde"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Default Popup Text Message","Default Popup Text Message"
"Default Price","Default Price"
"Default Price Navigation Step","Default Price Navigation Step"
"Default Qty","Förvalt antal"
"Default Values","Förvalda värden"
"Default price","Förvalt pris"
"Default value","Förvalt värde"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Delete","Ta bort"
"Delete Attribute","Ta bort attribut"
"Delete Attribute Set","Ta bort attributmängd"
"Delete Category","Ta bort kategori"
"Delete Group Price","Delete Group Price"
"Delete Option","Ta bort alternativ"
"Delete Row","Delete Row"
"Delete Search","Ta bort sökning"
"Delete Selected Group","Ta bort vald grupp"
"Delete Tier","Delete Tier"
"Delete attribute","Delete attribute"
"Delete category","Delete category"
"Delete product","Delete product"
"Depends on design theme","Depends on design theme"
"Description","Description"
"Design","Design"
"Details","Details"
"Disabled","Inaktiverad"
"Disallowed file type.","Disallowed file type."
"Display Actual Price","Display Actual Price"
"Display Price Interval as One Price","Display Price Interval as One Price"
"Display Product Count","Display Product Count"
"Display in Suggested Terms","Visa i föreslagna termer"
"Double click on a group to rename it","Dubbelklicka på en grupp för att ändra dess namn"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Downloadable Information","Downloadable Information"
"Dropdown","Rullgardinsmeny"
"Duplicate","Duplicera"
"Duplicate website group price customer group.","Duplicate website group price customer group."
"Duplicate website tier price customer group and quantity.","Duplicera kundgrupp och kvantitet för webbplatsens nivåpris."
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Edit","Ändra"
"Edit Attribute Set '%s'","Ändra attributsmängden '%s'"
"Edit Product Attribute","Ändra produktattribut"
"Edit Product Attribute ""%s""","Ändra produktattribut ""%s"""
"Edit Search","Ändra sök"
"Edit Search '%s'","Hantera sökningar på '%s'"
"Edit Set Name","Edit Set Name"
"Email","E-post"
"Email to a Friend","E-posta till en vän"
"Empty","Tom"
"Enable MAP","Enable MAP"
"Enable Qty Increments","Enable Qty Increments"
"Enable WYSIWYG","Enable WYSIWYG"
"Enabled","Aktiverad"
"Error during retrieval of option value: %s","Ett fel uppstod när alternativvärdet skulle hämtas för: %s"
"Error while adding customers for %s alert. Message: %s","Ett fel uppstod när kunder skulle läggas till för bevakningen %s. Meddelande: %s"
"Error while saving this group. Group with the same name already exists.","Ett fel uppstod när denna grupp skulle sparas. Det existerar redan en grupp med samma namn."
"Error while saving this group. Please try again later.","Ett fel uppstod när denna grupp skulle sparas. Vänligen försök igen senare."
"Exclude","Uteslut"
"Expand All","Expand All"
"Failed","Misslyckades"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Failed to copy file %s. Please, delete media with non-existing images and try again."
"Failed to move file: %s","Misslyckades med att flytta filen %s"
"Feature Products","Kampanjproduker"
"Field is not complete","Field is not complete"
"File options format is not valid","File options format is not valid"
"File options format is not valid.","File options format is not valid."
"File upload failed","File upload failed"
"Filter model name must be declared","Modellnamn för filter måste anges"
"Filter model name must be declared.","Filter model name must be declared."
"Filter must be an object. Please set correct filter.","Filter must be an object. Please set correct filter."
"Filter must be as object. Set correct filter please","Filer måste vara som ett objekt. Vänligen välj korrekt filter"
"Filterable (no results)","Filtrerbar (inga resultat)"
"Filterable (with results)","Filtrerbar (med resultat)"
"Filters must be as array","Filter måste vara som vektor"
"First Name","Förnamn"
"Fixed","Fixerad"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use.","For internal use."
"For internal use. Must be unique with no spaces","För internt bruk. Måste vara unikt och utan mellanslag"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"For the last time placed.","For the last time placed."
"Frontend","Kunddelen"
"Frontend Model","Modell för kunddelen"
"Frontend Properties","Egenskaper för kunddelen"
"Gallery","Galleri"
"General Information","Allmän information"
"Get full information about attribute with list of options","Get full information about attribute with list of options"
"Get full information about custom option in product","Get full information about custom option in product"
"Get list of available custom option types","Get list of available custom option types"
"Get list of non-default attributes by product type and attributes set","Get list of non-default attributes by product type and attributes set"
"Get list of possible attribute types","Get list of possible attribute types"
"Get special price","Get special price"
"Global","Global"
"Globally Editable","Globalt ändringsbar"
"Go to Home Page","Gå till hemsidan"
"Grid","Rutnät"
"Group add","Group add"
"Group remove","Group remove"
"Grouped Product","Grupperad produkt"
"Groups","Grupper"
"Home","Hem"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","If empty, the Category Name will be used"
"If empty, the Product Name will be used","If empty, the Product Name will be used"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Bild"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image does not exist.","Image does not exist."
"Image file not found","Bildfilen kunde inte hittas"
"Image file was not found.","Image file was not found."
"Image not exists","Bilden existerar inte"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","Typ och information för bild måste anges för varje butiksvy."
"In Cart","In Cart"
"In Stock","I lager"
"In stock","I lager"
"In stock.","In stock."
"Incl. Tax","Incl. Tax"
"Index product and categories URL rewrites","Index product and categories URL rewrites"
"Index product attributes for layered navigation building","Index product attributes for layered navigation building"
"Index product prices","Index product prices"
"Indexed category/products association","Indexed category/products association"
"Info","Info"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Input Type"
"Input Validation for Store Owner","Indatavalidering för butiksägare"
"Integer","Heltal"
"Integer Number","Heltalsnummer"
"Interval Division Limit","Interval Division Limit"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ogiltigt attributsalternativ ha angets för attributet %s (%s). Hoppar över posten"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record","Ogiltig attributsmängd har angivits. Hoppar över posten"
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid block: %s","Ogiltigt block: %s"
"Invalid block: %s.","Invalid block: %s."
"Invalid category","Invalid category"
"Invalid category IDs","Ogiltigt kategori-ID:n"
"Invalid category IDs.","Invalid category IDs."
"Invalid category.","Invalid category."
"Invalid image file type","Ogiltig filtyp för bild"
"Invalid image file type.","Invalid image file type."
"Invalid image type.","Invalid image type."
"Invalid option ID specified for %s (%s), skipping the record.","Invalid option ID specified for %s (%s), skipping the record."
"Invalid option id specified for %s (%s), skipping the record","Ogiltigt alternativ-ID har angivits för %s (%s). Hoppar över posten"
"Invalid product type specified, skipping the record","Ogiltig produkttyp har angetts. Hoppar över posten"
"Invalid product type specified, skipping the record.","Invalid product type specified, skipping the record."
"Invalid store specified","Ogiltig butik har angetts"
"Invalid store specified, skipping the record","Ogiltig butik har angivits. Hoppar över posten"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid tier prices. The product is not associated to the requested website.","Invalid tier prices. The product is not associated to the requested website."
"Inventory","Inventering"
"Is Default","Är förvalt"
"Is Required","Is Required"
"Items %s to %s of %s total","Artiklar %s till %s av totalt %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artiklar som du inte vill ska visas i katalogen eller i sökresultat bör ha status satt till ""Inaktiverad"" i önskad butik."
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","Etikett"
"Last Name","Efternamn"
"Last Notification","Senaste meddelande"
"Layered Navigation","Layered Navigation"
"Learn More","Läs mer"
"Length of text is too long","Length of text is too long"
"Letters","Bokstäver"
"Letters(a-zA-Z) or Numbers(0-9)","Bokstäver (a-ö, A-Ö) eller siffror (0-9)"
"Line %d, Email: %s","Rad %d, E-post: %s"
"Line %d, SKU: %s","Rad %d, artikelnummer: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product does not exist.","Link product does not exist."
"Link product not exists.","Link product not exists."
"Link to a Specified Category","Link to a Specified Category"
"Link to a Specified Product","Link to a Specified Product"
"List","Lista"
"List Mode","Listläge"
"List of Products that are set as New","List of Products that are set as New"
"List of types","List of types"
"Manage Attribute Sets","Hantera attributmängder"
"Manage Attributes","Hantera attribut"
"Manage Catalog Categories","Hantera katalogkategorier"
"Manage Categories","Hantera kategorier"
"Manage Label / Options","Hantera etiketter / alternativ"
"Manage Options (values of your attribute)","Hantera alternativ (dina attributs värden)"
"Manage Product Attributes","Hantera produktattribut"
"Manage Product Sets","Hantera produktmängder"
"Manage Products","Hantera produkter"
"Manage Stock","Manage Stock"
"Manage Titles (Size, Color, etc.)","Hantera titlar (storlek, färg, etc.)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Image Size","Maximum Image Size"
"Maximum Number of Price Intervals","Maximum Number of Price Intervals"
"Maximum Qty Allowed in Shopping Cart","Maximalt antal tillåtet i varukorg"
"Maximum allowed image size for '%s' is %sx%s px.","Maximum allowed image size for '%s' is %sx%s px."
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Maximum number of characters"
"Maximum number of characters:","Maximum number of characters:"
"Maximum number of price intervals is 100","Maximum number of price intervals is 100"
"Media Image","Mediabild"
"Minimum Advertised Price","Minimum Advertised Price"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Lines per Page","Minimum Lines per Page"
"Minimum Qty Allowed in Shopping Cart","Minimum antal tillåtet i varukorg"
"Minimum Qty for Item's Status to be Out of Stock","Lagersaldo för artikel för att dess status ska ändras till ""Slut i lager"""
"Minimum Qty for Item\'s Status to be Out of Stock","Minimum Qty for Item\'s Status to be Out of Stock"
"Missing SKU, skipping the record","Artikelnummer saknas, hoppar över posten"
"Missing SKU, skipping the record.","Missing SKU, skipping the record."
"More Views","Fler bilder"
"Move","Move"
"Move category in tree","Move category in tree"
"Multiple Select","Flerval"
"Must be in the allowed values list.","Must be in the allowed values list."
"N/A","N/A"
"Name","Namn"
"Name In %s","Namn i %s"
"Name in %s","Name in %s"
"Name<br/>(For internal use)","Namn<br/>(För internt bruk)"
"New Category","Ny kategori"
"New Product","Ny produkt"
"New Product Attribute","Nytt produktattribut"
"New Products","Nya produkter"
"New Products Grid Template","New Products Grid Template"
"New Products List Template","New Products List Template"
"New Root Category","New Root Category"
"New Search","Ny sökning"
"New Set Name","Nytt mängdnamn"
"New Subcategory","New Subcategory"
"Next","Nästa"
"No","Nej"
"No image","Ingen bild"
"No layout updates","Inga layoutuppdateringar"
"No options of this product are available.","Inga alternativ är tillgängliga för denna produkt."
"No product collections found","Inga produktsamlingar kunde hittas"
"No product collections found.","No product collections found."
"None","Inga"
"Not Visible Individually","Not Visible Individually"
"Not shared with other products","Delas ej med andra produkter"
"Notify Low Stock RSS","RSS-kanal för meddelanden om artiklar som håller på att ta slut i lager"
"Notify for Quantity Below","Meddelade när lagersaldo är under"
"Nowhere","Ingenstans"
"Number of Products to Display","Number of Products to Display"
"Number of Uses","Antal träffar"
"Number of results","Number of results"
"Number of results (For the last time placed)","Number of results (For the last time placed)"
"Number of results<br/>(For last time placed)","Antal resultat<br/>(senaste placering)"
"OK","OK"
"OR","ELLER"
"Old Price:","Tidigare pris:"
"On Gesture","On Gesture"
