" Copy","Kopiera"
"Action","Åtgärd"
"Add New Template","Lägg till ny mall"
"Add to Queue","Lägg till i kön"
"Allow Guest Subscription","Allow Guest Subscription"
"An error occurred while saving your subscription.","An error occurred while saving your subscription."
"Are you sure that you want to delete this template?","Är du säker på att du vill ta bort denna mall?"
"Are you sure that you want to strip all tags?","Är du säker på att du vill ta bort alla etiketter?"
"Back","Tillbaka"
"Cancel","Avbryt"
"Cancelled","Avbruten"
"Cannot delete subscriber","Kan inte ta bort prenumerant"
"Cannot delete template","Kan inte ta bort mall"
"Cannot mark as received subscriber","Kan inte ange som mottagen prenumerant"
"Cannot mark as received subscriber.","Cannot mark as received subscriber."
"Cannot save your subscription: %s","Kan inte spara din prenumeration: %s"
"Confirmation Email Sender","Avsändare för bekräftelse e-post"
"Confirmation Email Template","Mall för bekräftelse e-post"
"Confirmation request has been sent","Begäran om bekräftelse har skickats"
"Confirmation request has been sent.","Confirmation request has been sent."
"Convert to Plain Text","Konvertera till vanlig text"
"Create Newsletter Template","Skapa mall för nyhetsbrev"
"Customer","Kund"
"Customer First Name","Customer First Name"
"Customer Firstname","Kundens förnamn"
"Customer Last Name","Customer Last Name"
"Customer Lastname","Kundens efternamn"
"Customer My Account Newsletter Subscriptions","Customer My Account Newsletter Subscriptions"
"Date Added","Tillagd den"
"Date Updated","Uppdaterad den"
"Delete","Delete"
"Delete Selected Problems","Ta bort valda problem"
"Delete Template","Ta bort mall"
"Do you really want to cancel the queue?","Är du säker på att du vill avbryta kön?"
"Duplicate of template code","Kopiering av mallkod"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Ändra nyhetsbrev"
"Edit Newsletter Template","Ändra mall för nyhetsbrev"
"Edit Queue","Ändra kö"
"Edit Template","Ändra mall"
"Email","E-post"
"Enter your email address","Ange din e-postadress"
"Error Code","Felkod"
"Error Text","Felmeddelande"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Form was filled incorrectly","Formuläret är inte korrekt ifyllt"
"Guest","Gäst"
"ID","ID"
"Invalid queue selected","Ogiltig kö vald"
"Invalid queue selected.","Invalid queue selected."
"Invalid subscriber ID","Ogiltig id för prenumerant"
"Invalid subscription ID","Ogiltig id för prenumeration"
"Invalid subscription ID.","Invalid subscription ID."
"Invalid subscription confirmation code","Ogiltig kod för bekräftelse av prenumeration"
"Invalid subscription confirmation code.","Invalid subscription confirmation code."
"Message","Meddelande"
"Need to Confirm","Måste bekräftas"
"New Newsletter Template","Ny mall för nyhetsbrev"
"New Template","Ny mall"
"Newsletter","Nyhetsbrev"
"Newsletter Message Preview","Förhandsgranskning av nyhetsbrev"
"Newsletter Problem Reports","Rapporter om problem med nyhetsbrev"
"Newsletter Queue","Kö för nyhetsbrev"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Prenumerera på nyhetsbrev"
"Newsletter Sign-up:","Newsletter Sign-up:"
"Newsletter Styles","Newsletter Styles"
"Newsletter Subscribers","Prenumeranter på nyhetsbrev"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscription Form Before","Newsletter Subscription Form Before"
"Newsletter Subscriptions","Prenumerationer på nyhetsbrev"
"Newsletter Templates","Mallar för nyhetsbrev"
"Newsletter subscription confirmation","Bekräftelse av prenumeration på nyhetsbrev"
"Newsletter subscription success","Prenumeration på nyhetsbrev genomförd"
"Newsletter unsubscription success","Uppsägning av prenumeration på nyhetsbrev genomförd"
"No Templates Found","Det finns inga mallar"
"No problems found","Inga problem funna"
"No problems found.","No problems found."
"No subscribers selected","Inga prenumeranter valda"
"No subscribers selected.","No subscribers selected."
"Not Activated","Not Activated"
"Not Sent","Ej skickat"
"Not activated","Inte aktiverad"
"Pause","Paus"
"Paused","Pausad"
"Please enter a valid email address","Please enter a valid email address"
"Please enter a valid email address.","Please enter a valid email address."
"Please enter new template name","Vänligen skriv in nytt mallnamn"
"Please refer to exeption.log","Please refer to exeption.log"
"Please select subscriber(s)","Vänligen välj prenumerant(er)"
"Preview","Förhandsgranska"
"Preview Template","Förhandsganska mall"
"Processed","Behandlad"
"Queue Date Start","Startdatum för kö"
"Queue Finish","Köslut"
"Queue Information","Information om kön"
"Queue Newsletter","Placera nyhetsbrev i kö"
"Queue Newsletter...","Queue Newsletter..."
"Queue Start","Köstart"
"Queue Subject","Ämnesrad för kö"
"Recipients","Mottagare"
"Reset","Nollställ"
"Resume","Återuppta"
"Return HTML Version","Return HTML Version"
"Return Html Version","Returnera HTML-version"
"Save And Resume","Spara och återuppta"
"Save As","Spara som"
"Save Newsletter","Spara nyhetsbrev"
"Save Template","Spara mall"
"Save and Resume","Save and Resume"
"Selected problem subscribers have been unsubscribed.","Selected problem subscribers have been unsubscribed."
"Selected problem subscribers successfully unsubscribed","Valda prenumeranter har avregistrerats från nyhetsbrev"
"Selected problems have been deleted.","Selected problems have been deleted."
"Selected problems successfully deleted","Valda problem har tagits bort"
"Sender","Avsändare"
"Sender Email","E-post för avsändare"
"Sender Name","Namn för avsändare"
"Sending","Skickar"
"Sending Options","Sending Options"
"Sent","Skickat"
"Set Return-Path","Set Return-Path"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Sign me up","Skriv upp mig"
"Sign up for our newsletter","Sign up for our newsletter"
"Sign up for our newsletter:","Prenumerera på vårt nyhetsbrev"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>."
"Start","Början"
"Status","Status"
"Store","Butik"
"Store View","Butiksvy"
"Subject","Ämnesrad"
"Submit","Submit"
"Subscribe","Prenumerera"
"Subscribed","Subscribed"
"Subscriber","Prenumerant"
"Subscribers","Prenumeranter"
"Subscribers From","Prenumeranter från"
"Subscription Options","Alternativ för prenumeration"
"Success Email Sender","Avsändare för mall för e-post om bekräftelse"
"Success Email Template","Mall för e-post om bekräftelse"
"Template Content","Innehåll i mall"
"Template Information","Information om mall"
"Template Name","Mallnamn"
"Template Styles","Template Styles"
"Template Subject","Ämnesrad för mall"
"Template Type","Malltyp"
"Thank you for your subscription","Tack för att du prenumererar på vårt nyhetsbrev"
"Thank you for your subscription.","Thank you for your subscription."
"The subscription has been removed.","The subscription has been removed."
"The subscription has been saved.","The subscription has been saved."
"The subscription was successfully saved","Prenumerationen har sparats"
"There was a problem with the subscription","Det uppstod ett fel med prenumerationen"
"There was a problem with the subscription.","There was a problem with the subscription."
"There was a problem with the subscription: %s","Det uppstod ett fel med prenumerationen: %s"
"There was a problem with the un-subscription.","Det uppstod ett fel i samband med uppsägningen av prenumerationen."
"There was an error while saving your subscription","Det uppstod ett fel när din prenumeration skulle sparas"
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Toggle Editor","Växla editor"
"Type","Typ"
"Unconfirmed","Unconfirmed"
"Unsubscribe","Säg upp prenumeration"
"Unsubscribe Selected","Uppsägning vald"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","Avsändare för e-post om uppsägning av prenumeration"
"Unsubscription Email Template","Mall för e-post om uppsägning"
"View Newsletter","Granska nyhetsbrev"
"Website","Webbplats"
"You have been successfully unsubscribed.","Din prenumeration på nyhetsbrevet har sagts upp"
"You have been unsubscribed.","You have been unsubscribed."
"Your subscription has been confirmed.","Your subscription has been confirmed."
"Your subscription was successfully confirmed","Din prenumeration har bekräftats"
