"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d."
"-- Please Select --","-- Vänligen välj --"
"Add New Class","Lägg till ny klass"
"Add New Tax Rate","Lägg till ny momssats"
"Add New Tax Rule","Lägg till ny momsregel"
"After Discount","After Discount"
"An error occurred while deleting this rate.","An error occurred while deleting this rate."
"An error occurred while deleting this rate. Incorrect rate ID.","An error occurred while deleting this rate. Incorrect rate ID."
"An error occurred while deleting this tax class.","An error occurred while deleting this tax class."
"An error occurred while deleting this tax rule.","An error occurred while deleting this tax rule."
"An error occurred while saving this tax class.","An error occurred while saving this tax class."
"An error occurred while saving this tax class. A class with the same name","An error occurred while saving this tax class. A class with the same name"
"An error occurred while saving this tax rule.","An error occurred while saving this tax rule."
"Apply Customer Tax","Apply Customer Tax"
"Apply Discount On Prices","Apply Discount On Prices"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected."
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Back","Tillbaka"
"Before Discount","Before Discount"
"CSV","CSV"
"Calculation","Calculation"
"Calculation Settings","Calculation Settings"
"Catalog Prices","Catalog Prices"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Klassnamn"
"Code","Code"
"Country","Land"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","Län"
"Custom price if available","Custom price if available"
"Customer Tax Class","Momsklass för kund"
"Customer Tax Class Information","Information om momsklass för kunder"
"Customer Tax Classes","Momsklasser för kunder"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Destination Calculation","Default Tax Destination Calculation"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Ta bort klass"
"Delete Rate","Ta bort kurs"
"Delete Rule","Ta bort regel"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Full Tax Summary","Display Full Tax Summary"
"Display Prices","Display Prices"
"Display Product Prices","Display Product Prices"
"Display Product Prices In Catalog","Display Product Prices In Catalog"
"Display Shipping Amount","Display Shipping Amount"
"Display Shipping Prices","Display Shipping Prices"
"Display Subtotal","Display Subtotal"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Display full tax summary","Display full tax summary"
"Edit Class","Ändra klass"
"Edit Class '%s'","Ändra klassen '%s'"
"Edit Rule","Ändra regeln"
"Edit Tax Rate","Ändra momssats"
"Error while deleting this class. Please try again later.","Ett fel inträffade när klassen skulle raderas. Vänligen försök igen senare."
"Error while deleting this rate. Incorrect rate ID","Ett fel uppstod när kursen skulle tas bort: kursens ID är felaktigt"
"Error while deleting this rate. Please try again later.","Ett fel upstod när kursen skulle tas bort. Vänligen försök igen senare."
"Error while deleting this tax rule. Please try again later.","Ett fel uppstod när momsregeln skulle tas bort. Vänligen försök igen senare."
"Error while saving this rate. Please try again later.","Ett fel uppstod när kursen skulle sparas. Vänligen försök igen senare."
"Error while saving this tax class. Class with the same name ","Ett fel uppstod när momsklassen skulle sparas: det finns redan en klass med samma namn."
"Error while saving this tax class. Please try again later.","Ett fel uppstod när momsklassen skulle sparas. Vänligen försök igen senare."
"Error while saving this tax rule. Please try again later.","Ett fel uppstod när momsregeln skulle sparas. Vänligen försök igen senare."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excel XML","Excel XML"
"Excl. Tax","Exkl. moms"
"Excl. Tax:","Excl. Tax:"
"Excluding Tax","Excluding Tax"
"Excluding tax","Excluding tax"
"Export Tax Rates","Exportera momssatser"
"Grand Total (Excl. Tax)","Grand Total (Excl. Tax)"
"Grand Total (Excl.Tax)","Grand Total (Excl.Tax)"
"Grand Total (Incl. Tax)","Grand Total (Incl. Tax)"
"Grand Total (Incl.Tax)","Grand Total (Incl.Tax)"
"Grand Total Excl. Tax","Grand Total Excl. Tax"
"Grand Total Incl. Tax","Grand Total Incl. Tax"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Importera / Exportera momssatser"
"Import Tax Rates","Importera momssatser"
"Inc. Tax","Inkl. moms"
"Incl. Tax","Inkl. moms"
"Incl. Tax:","Incl. Tax:"
"Include Tax In Grand Total","Include Tax In Grand Total"
"Including Tax","Including Tax"
"Including and Excluding Tax","Including and Excluding Tax"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","Inkorrekt data för momssats"
"Invalid data for tax rate calculation","Felaktig data för beräkning av moms"
"Invalid file format upload attempt","Filen du försökte ladda upp är av ett ogiltigt format."
"Invalid file upload attempt","Felaktigt försök att ladda upp fil"
"Manage Customer Tax Classes","Hantera momsklasser för kunder"
"Manage Product Tax Classes","Hantera momsklasser för produkter"
"Manage Tax Rates","Hantera momssatser"
"Manage Tax Rules","Hantera momsregler"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"New Class","Ny klass"
"New Rule","Ny regel"
"New Tax Rate","Ny momssats"
"No","No"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Orders, Invoices, Credit Memos Display Settings","Orders, Invoices, Credit Memos Display Settings"
"Original price only","Original price only"
"Please select Country","Vänligen välj land"
"Please select County","Vänligen välj land"
"Please select State","Vänligen välj region"
"Price Display Settings","Price Display Settings"
"Priority","Priority"
"Product Tax Class","Momsklass för produkt"
"Product Tax Class Information","Information om produktmomsklass"
"Product Tax Classes","Momsklasser för produkter"
"Range From","Range From"
"Range To","Range To"
"Rate","Rate"
"Rate Percent","Rate Percent"
"Reset","Nollställ"
"Row Total","Row Total"
"Sales","Försäljning"
"Save Class","Spara klass"
"Save Rate","Spara sats"
"Save Rule","Spara regel"
"Save and Continue Edit","Save and Continue Edit"
"Shipping & Handling (Excl.Tax)","Shipping & Handling (Excl.Tax)"
"Shipping & Handling (Incl.Tax)","Shipping & Handling (Incl.Tax)"
"Shipping & Handling Tax","Shipping & Handling Tax"
"Shipping (Excl. Tax)","Shipping (Excl. Tax)"
"Shipping (Incl. Tax)","Shipping (Incl. Tax)"
"Shipping Excl. Tax (%s)","Shipping Excl. Tax (%s)"
"Shipping Incl. Tax (%s)","Shipping Incl. Tax (%s)"
"Shipping Prices","Shipping Prices"
"Shipping prices include tax","Shipping prices include tax"
"Shopping Cart Display Settings","Shopping Cart Display Settings"
"Sort Order","Sort Order"
"State","Stat"
"State/Region","Region"
"Subtotal (Excl. Tax)","Subtotal (Excl. Tax)"
"Subtotal (Excl.Tax)","Subtotal (Excl.Tax)"
"Subtotal (Incl. Tax)","Subtotal (Incl. Tax)"
"Subtotal (Incl.Tax)","Subtotal (Incl.Tax)"
"Tax","Moms"
"Tax Based On","Tax Based On"
"Tax Calculation Based On","Tax Calculation Based On"
"Tax Calculation Method Based On","Tax Calculation Method Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","Momssats"
"Tax Rate Information","Information om momssats"
"Tax Rule Information","Information om momsregler"
"Tax Rules","Momsregler"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax class was successfully deleted","Momsklass har tagits bort"
"Tax class was successfully saved","Momsklass har sparats"
"Tax rate cannot be removed. It exists in tax rule","Tax rate cannot be removed. It exists in tax rule"
"Tax rate was successfully deleted","Momssats har tagits bort"
"Tax rate was successfully imported","Momssats har importerats"
"Tax rate was successfully saved","Momssats har sparats"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","Momsregel har tagits bort"
"Tax rule was successfully saved","Momsregel har sparats"
"The tax class has been deleted.","The tax class has been deleted."
"The tax class has been saved.","The tax class has been saved."
"The tax rate has been deleted.","The tax rate has been deleted."
"The tax rate has been imported.","The tax rate has been imported."
"The tax rate has been saved.","The tax rate has been saved."
"The tax rule has been deleted.","The tax rule has been deleted."
"The tax rule has been saved.","The tax rule has been saved."
"This class no longer exists","Denna klass finns inte längre"
"This rule no longer exists","Denna regel finns inte längre"
"This rule no longer exists.","This rule no longer exists."
"Total","Total"
"Unit Price","Unit Price"
"Whether catalog prices entered by admin include tax.","Whether catalog prices entered by admin include tax."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Whether shipping amounts entered by admin or obtained from gateways include tax."
"XML","XML"
"Yes","Yes"
"You cannot delete this tax class as it is used for %d customer groups.","Du kan inte ta bort denna momsklass då den används för %s kundgrupper."
"You cannot delete this tax class as it is used for %d products.","Du kan inte ta bort denna momsklass då den används för %s produkter."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Du kan inte ta bort denna momsklass då den används för existerande momsregler. Du måste först ta bort momsreglerna."
"Zip/Post Code","Postkod"
"Zip/Post is Range","Zip/Post is Range"
