"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Alla konto- och kreditkort; VISA, MasterCard, AMEX, JCB, Diners (via Moneybookers)"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (via Moneybookers) - Italien"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (via Moneybookers) - Frankrike"
"Customer ID","Kundnummer"
"Dankort (powered by Moneybookers) - Denmark","Dankort (via Moneybookers) - Danmark"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (via Moneybookers) - Österrike"
"Enabled","Tillgänglig"
"Giropay (powered by Moneybookers) - Germany","Giropay (via Moneybookers) - Tyskland"
"Laser (powered by Moneybookers) - Ireland","Laser (via Moneybookers) - Irland"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (via Moneybookers) - Tyskland"
"Loading secure payment page (SSL)","Loading secure payment page (SSL)"
"Moneybookers","Moneybookers"
"Moneybookers Info URL","Moneybookers informationslänk"
"Moneybookers Settings","Moneybookers inställningar"
"Moneybookers Transaction ID: %s","Moneybookers transaktionsnummer: %s."
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Mer information om Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (via Moneybookers) - Finland"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (via Moneybookers) - Sweden"
"Order ID","Beställningsnummer"
"POLi (powered by Moneybookers) - Australia","POLi (via Moneybookers) - Österrike"
"Payment failed.","Betalning misslyckades."
"Payment from Applicable Countries","Betalning från tillgängliga länder."
"Payment from Specific Countries","Betalning från specifika länder."
"Payment has not been processed yet.","Betalningen har ännu inte behandlats."
"Payment was canceled.","Betalningen blev avbruten."
"Pending bank transfer created.","Pågående banköverföring skapad."
"Please pay your order now","Vänligen betala din beställning."
"Postepay (powered by Moneybookers) - Italy","Postepay (via Moneybookers) - Italien"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (via Moneybookers) - Polen"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (via Moneybookers) - Tyskland"
"Sort Order","Sortera efter"
"The amount has been authorized and captured by Moneybookers.","Beloppet har godkänts och fångas av Moneybookers."
"The customer was redirected to Moneybookers.","Kunden omdirigeras till Moneybookers."
"The order has been canceled.","Beställningen har avbrutits."
"Title","Titel"
"You will be redirected to our secure payment page when you place an order.","Du omdirigeras till Moneybookers säkra betalningssida efter genomförd beställning."
"eNETS (powered by Moneybookers) - Singapore","eNETS (via Moneybookers) - Singapore"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (via Moneybookers) - Nederländerna"